"id","committer","comunity","star","watcher","pull_request","dpdp","pdp"
"59653","1","2","3","3","","TRUE","TRUE"
"59897","1","1","2","1","","FALSE","TRUE"
"60137","1","1","5","4","","FALSE","FALSE"
"60657","1","1","1","1","","FALSE","TRUE"
"61049","1","1","143","37","","TRUE","TRUE"
"61569","7","7","4","4","","TRUE","FALSE"
"61947","2","17","2","2","","FALSE","TRUE"
"61987","12","13","43","45","","TRUE","TRUE"
"62890","2","2","86","82","","FALSE","FALSE"
"63117","2","2","16","11","","TRUE","TRUE"
"63184","1","1","0","1","","FALSE","TRUE"
"65125","1","1","1","1","","FALSE","TRUE"
"67740","1","1","1","1","","FALSE","TRUE"
"69365","2","2","1","1","","FALSE","TRUE"
"70068","1","1","1","1","","FALSE","FALSE"
"70211","8","8","2","1","","FALSE","FALSE"
"70814","1","1","3","2","","FALSE","FALSE"
"71019","2","4","15","14","","TRUE","TRUE"
"72092","7","7","67","73","","TRUE","TRUE"
"72879","8","8","2","2","","TRUE","TRUE"
"73033","1","1","0","1","","FALSE","FALSE"
"74238","3","4","2","1","","TRUE","TRUE"
"74297","1","1","11","11","","TRUE","TRUE"
"74512","1","1","3","2","","TRUE","TRUE"
"75745","2","2","6","5","","TRUE","TRUE"
"76910","1","1","2","2","","TRUE","TRUE"
"77410","1","1","1","1","","TRUE","FALSE"
"77971","3","3","2","1","","FALSE","TRUE"
"81060","2","4","42","44","","TRUE","TRUE"
"81569","1","1","2","2","","FALSE","TRUE"
"82075","1","1","1","1","","FALSE","FALSE"
"82582","2","2","2","1","","FALSE","FALSE"
"82708","3","3","0","1","","FALSE","TRUE"
"83759","1","1","1","2","","TRUE","TRUE"
"84133","5","5","2","2","","FALSE","TRUE"
"84253","3","3","1","6","","FALSE","TRUE"
"84534","1","1","7","1","","TRUE","TRUE"
"84792","3","3","1","1","","FALSE","TRUE"
"85176","13","13","1","2","","FALSE","FALSE"
"85339","2","2","0","0","","TRUE","TRUE"
"85363","5","5","2","2","","TRUE","TRUE"
"85669","1","1","0","1","","FALSE","TRUE"
"86103","1","2","11","7","","TRUE","TRUE"
"86575","7","7","2","2","","FALSE","FALSE"
"86693","3","3","24","19","","FALSE","FALSE"
"87043","1","1","1","1","","FALSE","TRUE"
"87192","3","3","1","1","","TRUE","TRUE"
"87477","1","1","2","1","","TRUE","TRUE"
"87744","10","11","19","20","","TRUE","TRUE"
"88292","2","2","2","2","","TRUE","TRUE"
"88437","1","1","0","1","","TRUE","TRUE"
"88829","2","2","2","2","","FALSE","TRUE"
"89129","1","3","11","8","","TRUE","TRUE"
"89776","4","4","4","3","","FALSE","FALSE"
