DPDP,id,star,watcher,committer,comunity,have_language,pull_request
FALSE,2515324,1,0,1,1,1,0
TRUE,488182,8,9,12,12,1,1
FALSE,666537,10,8,3,3,1,1
FALSE,196541,4,0,3,3,0,2
TRUE,816932,6,7,1,1,1,1
TRUE,870229,26,9,1,1,1,0
FALSE,2508842,1,0,1,1,1,0
FALSE,2511511,1,0,1,1,1,0
TRUE,2508550,1,0,3,3,1,1
TRUE,2514155,1,0,1,1,1,0
TRUE,2239475,5,1,1,1,1,0
FALSE,2509927,2,0,1,1,1,0
FALSE,1963539,1,0,6,6,1,0
TRUE,2510241,0,0,1,1,1,0
TRUE,2516036,1,0,1,1,1,0
TRUE,1483709,13,9,1,1,1,0
TRUE,2507302,1,0,2,2,1,0
FALSE,2509917,1,0,1,1,1,0
TRUE,275186,20,14,42,47,1,2
TRUE,2509477,3,0,1,1,1,0
TRUE,2512298,1,0,1,1,1,0
FALSE,950072,9,4,3,3,0,0
TRUE,1893788,12,7,1,1,1,0
TRUE,226852,2,2,1,2,1,0
TRUE,2508491,1,0,1,1,1,0
FALSE,2514083,1,0,1,1,1,0
FALSE,2155163,1,0,1,1,1,0
TRUE,2240056,1,1,1,1,1,0
FALSE,2513168,1,0,1,1,1,0
TRUE,2516137,1,0,1,1,1,0
FALSE,2519105,1,0,1,1,1,0
FALSE,2510281,1,0,1,2,1,0
FALSE,2513111,1,0,2,2,1,0
FALSE,1981272,2,0,1,1,1,0
TRUE,305078,5,4,2,2,1,0
FALSE,2493969,1,0,2,2,1,0
FALSE,2516000,1,0,1,1,1,0
FALSE,2525108,1,0,1,1,1,0
TRUE,865879,2,1,8,8,1,0
TRUE,2512386,2,1,1,1,1,0
FALSE,2515362,2,0,1,1,0,0
TRUE,2508647,1,0,1,1,1,0
FALSE,2511301,1,0,1,1,0,0
FALSE,2514258,1,0,1,1,1,0
TRUE,23783,115,92,5,8,1,7
TRUE,43843,6,7,5,5,1,131
TRUE,510587,1,1,1,1,1,0
TRUE,162298,4,4,3,4,1,0
FALSE,2512804,1,0,1,1,1,0
FALSE,2226488,2,1,1,1,1,0
TRUE,2230603,5,0,2,2,1,2
FALSE,2509502,1,0,1,1,1,0
TRUE,2512317,2,1,1,1,1,0
FALSE,2521149,1,0,1,1,1,0
FALSE,590497,23,19,11,12,1,15
FALSE,708228,0,1,2,2,1,0
TRUE,206975,220,95,5,10,1,9
FALSE,2217749,5,3,1,1,1,0
TRUE,2509963,1,0,4,4,1,0
TRUE,2512799,1,0,1,1,1,0
TRUE,2510320,2,0,2,2,1,0
TRUE,1482786,10,5,1,1,1,0
TRUE,1959958,18,5,1,1,1,0
FALSE,2509462,1,0,1,1,0,0
FALSE,2512281,0,1,2,2,1,0
TRUE,418818,14,11,6,6,1,0
FALSE,2513266,1,0,1,1,1,0
TRUE,2195614,3,2,1,1,1,0
FALSE,2509065,0,0,3,3,1,0
TRUE,2511793,1,0,2,2,1,0
FALSE,2514778,1,0,1,1,1,0
TRUE,2226191,2,1,2,3,1,0
TRUE,318436,29,13,7,7,1,4
TRUE,2510234,5,1,1,1,1,0
TRUE,2516156,0,0,1,1,1,0
TRUE,13685,194,139,14,25,1,12
FALSE,2510177,1,0,1,1,0,0
FALSE,2515983,1,0,1,1,1,0
TRUE,2525093,7,3,3,3,1,0
FALSE,455485,6,2,3,3,1,2
TRUE,2244336,6,5,1,1,1,0
FALSE,2508027,1,0,1,1,1,0
FALSE,2519432,1,0,1,1,1,0
TRUE,2511058,2,1,1,1,1,0
FALSE,2507810,1,0,1,1,1,0
TRUE,2510415,1,0,1,1,1,0
TRUE,2513267,1,0,1,1,1,0
TRUE,1848907,7,4,10,13,1,5
FALSE,2508903,0,0,1,1,1,0
FALSE,2511587,1,0,1,1,1,0
TRUE,2514558,1,0,1,1,1,0
TRUE,393352,27,14,3,3,1,3
TRUE,2148489,4,3,1,1,1,0
TRUE,2229118,10,4,2,2,1,1
TRUE,2511260,1,0,2,2,1,0
FALSE,355037,17,21,11,11,1,0
TRUE,824319,1,1,18,23,1,233
TRUE,2004824,6,1,9,9,1,4
TRUE,2202096,7,7,7,7,1,1
FALSE,2510230,0,0,1,1,0,0
FALSE,2513055,2,2,1,1,1,0
TRUE,2516029,1,0,2,2,1,0
TRUE,2165392,39,30,1,1,1,0
TRUE,2514360,1,0,1,1,1,0
TRUE,48218,1662,881,61,192,1,50
FALSE,594436,1,1,1,1,1,0
FALSE,19294,12,11,1,1,1,0
FALSE,2512525,1,0,1,1,0,0
TRUE,2515507,2,1,1,1,1,0
TRUE,2226113,6,4,1,1,1,0
TRUE,244955,3,0,3,3,1,3
FALSE,2511983,1,0,1,1,1,0
TRUE,2514984,0,0,2,2,1,0
FALSE,922209,2,1,1,1,1,0
TRUE,98306,34,31,2,2,1,0
TRUE,2301051,2,2,1,1,1,0
FALSE,2492395,0,0,1,1,1,0
TRUE,2514451,1,0,1,1,1,0
TRUE,2226783,18,11,1,1,1,0
TRUE,950485,77,58,3,4,1,2
TRUE,43342,8,5,1,2,1,4
TRUE,236667,201,152,23,27,1,90
TRUE,2508000,2,0,1,1,1,0
TRUE,2519390,1,0,1,1,1,0
TRUE,2228783,6,1,2,2,1,0
FALSE,428053,34,32,6,6,1,5
TRUE,664387,42,36,2,2,1,1
TRUE,700393,10,9,16,16,0,9
FALSE,2509283,1,0,1,1,1,0
TRUE,959471,251,136,3,6,1,0
TRUE,2147874,5,1,3,3,1,0
TRUE,2510912,1,0,1,1,1,0
FALSE,705607,1,1,1,1,1,0
TRUE,2227769,4,1,1,1,1,0
TRUE,2507702,5,4,1,2,1,0
FALSE,2513132,1,0,1,1,0,0
